patent_id,original,canonical,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63,emb_64,emb_65,emb_66,emb_67,emb_68,emb_69,emb_70,emb_71,emb_72,emb_73,emb_74,emb_75,emb_76,emb_77,emb_78,emb_79,emb_80,emb_81,emb_82,emb_83,emb_84,emb_85,emb_86,emb_87,emb_88,emb_89,emb_90,emb_91,emb_92,emb_93,emb_94,emb_95,emb_96,emb_97,emb_98,emb_99,emb_100,emb_101,emb_102,emb_103,emb_104,emb_105,emb_106,emb_107,emb_108,emb_109,emb_110,emb_111,emb_112,emb_113,emb_114,emb_115,emb_116,emb_117,emb_118,emb_119,emb_120,emb_121,emb_122,emb_123,emb_124,emb_125,emb_126,emb_127
US10316031B2,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)[R1])NC4=NC=CC(=N4)C5=CC(=CN=C5)[O-],Cc1ccc(NC(=O)c2ccc(CN3CCNCC3)cc2)cc1Nc1nccc(-c2cncc([O-])c2)n1,0.060495835,0.02420641,-0.20728236,0.011548717,-0.0706112,-0.040055927,0.06413471,0.1685616,0.06065976,-0.1068019,-0.09997698,0.045352433,-0.1297761,0.0056952676,-0.043831766,-0.02739621,-0.056469947,-0.07121135,0.021093663,-0.06193791,-0.049238667,-0.046348207,0.010904164,0.04517557,-0.06762606,0.060003847,0.063124895,0.027296033,0.046251588,-0.12861028,0.049549248,0.028610203,0.005176006,-0.020348074,0.009689429,-0.0408685,-0.059836105,-0.0110263,0.028142925,0.10616285,0.07847804,0.049441896,-0.09394071,0.055131186,-0.057036813,-0.040447053,0.09498933,-0.037286453,-0.038019508,-0.17512095,-0.047199205,-0.07203309,0.007106347,-0.05541295,0.00840642,-0.07503936,-0.0077776136,0.06915219,0.003131042,0.13342762,0.08424189,-0.00870052,0.088254966,-0.12597701,-0.12039298,0.14835465,-0.101861514,-0.12378499,0.055913642,0.031742357,0.033825204,0.36239663,0.07177951,0.03701256,0.02381875,0.09791569,0.1206205,0.040679697,-0.18922439,-0.0062988866,-0.1292088,-0.055111814,0.049232084,0.06120553,0.064268515,0.05252175,0.005739981,0.09455769,0.015304872,0.0546236,0.16795315,0.040596083,-0.025771126,0.03550513,-0.068118155,-0.11250977,-0.016587146,0.0066688103,-0.025323678,0.0086342,-0.054723088,-0.027830109,0.037129715,-0.0016238133,0.015873438,-0.4302851,-0.09251958,0.038045052,0.14132018,-0.007892188,0.041531663,0.097304344,-0.021885293,0.029636934,0.036367975,-0.053068075,-0.04739926,-0.019373437,-0.0078757005,0.08384602,-0.047200624,-0.14382838,0.050906956,0.12428689,0.033403467,-0.035888944,0.034227584,-0.054663267
US10316031B2,C[C@@H](C[R2])C1=CC=C(C=N1)[R2].C[C@@H](C)C1=CC=C(C=N1)[R2].C[C@@H](C)C1=CC=NC=C1.[R2][H],CC(C)c1ccccn1,-0.055935927,0.07881855,-0.29929003,-0.012206526,0.10890894,-0.07947213,-0.062310565,0.075626574,0.040535305,0.04607192,0.01025984,-0.04374819,0.07148958,0.017569179,-0.020717112,0.0621771,0.02941433,0.025930796,0.0949821,-0.010055693,0.055140078,-0.04080771,-0.0054099285,0.026814952,0.015203892,-0.01721164,-0.020886697,0.0892591,-0.10227076,-0.05801954,-0.09287753,0.16646858,-0.029149748,-0.00946004,-0.025275702,-0.052986167,-0.025986908,0.0481868,-0.05342857,0.0063862056,0.02864971,0.07292106,-0.04750647,0.011522653,0.057195835,0.010747966,-0.023087546,0.02166115,-0.04269817,0.023594929,-0.14238286,-0.074103996,0.06858685,0.02593936,0.1483492,-0.05332055,-0.040002782,0.054843586,0.089539014,0.0045075202,-0.041504264,-0.09973817,0.13296741,-0.082477935,0.08084541,-0.061172362,-0.003996178,-0.0861258,-0.056861825,-0.13942418,0.0040991856,0.22160874,0.24752513,-0.060752317,0.02422922,0.10212391,-0.039588757,-0.069496654,0.0204184,0.120721385,0.06484639,0.025647419,-0.07974612,0.04346663,0.15563174,-0.040945496,0.08945329,0.013414484,-0.059600607,-0.048079047,-0.044343133,0.117520824,-0.04245693,0.0059776325,0.020966692,-0.07085641,-0.027423399,0.04089799,0.14830701,-0.10341384,0.096225694,0.06731624,0.03789184,-0.05486998,-0.0070095877,-0.4119982,0.04388915,-0.018319612,-0.15801856,-0.01814855,0.11242737,0.103608616,0.13379432,0.05065336,-0.02011518,0.044073425,-0.08165941,0.1299906,-0.16159672,-0.037132215,-0.120452456,-0.055619545,-0.027898189,0.10250079,0.018407483,0.06734512,-0.072303444,0.046222005
US10316031B2,C[C@@H](C)C1=C(NN=C1[R3])[R2].C[C@@H](C)C1=CC=NN1.C[C@@H](C)C1=NC=CO1.C[C@@H](C)C1=C(N=C(O1)[R3])[R2].C[C@@H](C)C1=C(N=C(O1)[R2])[R2].CC1=NN=C(O1)[R2],CC(C)c1cn[nH]c1,-0.12812242,0.06506345,-0.32511523,0.07057134,0.08298761,-0.090037785,-0.0642312,0.1057926,-0.07893844,0.02648422,0.09784259,0.01152075,0.06562595,0.09022215,0.06241279,0.04918762,0.0654124,-0.013256468,0.084105596,-0.1316808,0.054474074,0.03211542,0.027372979,-0.062144086,0.08340049,0.11734672,-0.0034700292,0.086595766,-0.044336785,0.01426782,-0.121903494,0.10053723,-0.087659754,0.14041752,0.039420467,0.0016901998,-0.035755254,-0.06430674,-0.13167574,0.00060619507,0.0015389189,-0.10039572,-0.11317568,-0.0412314,-0.016247855,-0.082865246,-0.12066018,0.05403074,-0.06885088,0.02322169,-0.15249744,-0.061075807,-0.04648648,0.04660738,0.10573805,-0.0016539062,-0.03329354,-0.042484622,0.07882622,0.061086733,0.04384191,-0.08554779,0.010959554,-0.04525707,0.048520856,0.010895837,-0.020265732,0.061764877,-0.12010523,-0.12915875,0.06521273,0.11939512,0.19107977,0.013041788,0.004244924,0.12349589,0.13902298,-0.20871383,0.01988755,-0.016799724,0.05427987,0.040870517,-0.017069535,0.022138111,0.1471411,-0.00891901,0.0654512,-0.03985042,-0.11743089,0.033779796,-0.059034556,0.13257195,-0.008627988,0.035397302,-0.08199094,-0.016020743,0.0060596215,0.12859522,0.0041859485,0.029545832,0.07342455,0.031926215,-0.053770013,-0.07001063,-0.0063045565,-0.4181674,-0.011686079,0.011862891,-0.15314838,0.083894104,0.027337948,0.063710764,0.01877227,0.056693062,-0.02148808,-0.00033521478,-0.04935966,-0.07352024,-0.11904748,-0.099866,0.027128013,-0.07412642,-0.0037024838,0.011071301,0.008650955,-0.00052130857,-0.05120971,0.028129742
US10316031B2,C[C@@H](C1=CC=NN1)I,C[C@H](I)c1ccn[nH]1,-0.048586305,0.09660182,-0.35161105,0.00089243794,0.09943548,-0.07769313,-0.08899611,0.10067188,-0.033636577,0.038052086,0.08868173,-0.00093217834,0.12313247,0.066926345,0.12859148,0.08929171,0.07031737,0.045502227,-0.004045364,-0.11578396,-0.01453995,0.085536696,0.0008007059,-0.06645158,0.103594266,0.08684788,0.05884339,0.06274254,-0.005614701,-0.014718106,-0.11265701,0.17129219,-0.13765936,0.016261699,0.081773624,0.03028689,0.011289307,-0.09892024,-0.12691459,-0.03127413,0.04452113,-0.114073515,-0.0667111,-0.041025262,0.057366397,-0.078423865,-0.037000395,0.043755185,-0.024095556,0.04035225,-0.1712625,-0.041208185,0.038107496,-0.043992955,0.06552637,-0.023733223,-0.06457108,-0.041094426,0.12239799,0.041445695,-0.08532393,-0.07825963,0.012180446,-0.03686138,0.08577201,0.034710396,-0.015787175,-0.013143716,0.039373815,-0.14702266,0.0032319971,0.073228545,0.0952501,0.039973065,-0.015686633,0.075441666,0.0940029,-0.15740475,0.029416978,0.034102596,0.00317588,-0.015398249,0.023170216,-0.039670695,0.15641245,-0.072266124,0.094470605,-0.10444009,-0.07074199,0.012794444,-0.03739994,0.1243611,-0.053798012,0.0145482365,-0.080946505,-0.010466965,-0.11764309,0.1059495,0.049800605,0.057191167,0.06254799,0.018979384,-0.016526489,0.044701662,0.014369465,-0.4437479,-0.06046247,-0.040236756,-0.15970528,0.12845635,0.065345444,0.052291945,0.07211029,0.03706183,-0.021846946,-0.022002874,-0.08865764,0.020023443,-0.042770904,-0.056733053,0.03634315,-0.10557578,-0.0062815337,0.073345594,0.009373972,-0.02721886,-0.07921933,0.033126853
US10316031B2,CC(C)C1=NN=C(O1)[R2],CC(C)c1nnco1,-0.049921032,0.07888185,-0.38405934,0.09014948,0.10971717,-0.032271273,-0.13732332,0.09013701,-0.06474078,0.03924319,-0.01739779,0.05113917,0.061435215,-0.01978693,0.019649455,-0.04825573,0.07118799,0.09679861,-0.0028152543,-0.082651965,-0.03422267,0.038994133,-0.0031019575,0.038433865,0.088720456,0.05451015,0.0075216386,0.20958297,-0.0218956,0.014146202,-0.08709535,0.13271673,-0.046412904,0.030968118,-0.12737153,-0.03624807,-0.046320133,-0.041698918,-0.15665221,-0.020639393,-0.014406812,0.040253818,-0.17340022,-0.06732783,0.03361997,-0.058202688,-0.020225769,0.019803006,0.015838144,0.061626516,-0.07887737,-0.100212745,-0.025383608,0.04514083,0.1499872,0.036543276,-0.04133422,0.031368744,0.018223802,-8.4426385e-05,-0.08385755,-0.07433223,0.03997673,-0.07438109,-0.002699872,0.008161986,-0.020847075,0.07279014,-0.046102848,-0.13295002,0.08545104,0.04696888,0.20206442,0.022069613,-0.020280702,0.09255457,-0.058581192,-0.12141746,0.0026455056,0.09787591,0.08555077,0.05037042,0.02011636,0.03182537,0.108823,0.015982822,0.042548142,-0.025406593,-0.0364065,-0.014667649,-0.03746877,0.1609068,0.027557882,0.09641641,-0.10282177,-0.08351059,0.03177291,0.08118383,0.051142737,-0.071637236,0.016061632,0.05165236,-0.017684648,-0.07638718,-0.069284864,-0.4235505,0.0374078,0.0350648,-0.13811052,-0.009561963,-0.011308011,0.030238336,0.19728309,-0.0058418913,-0.10649712,0.026285313,-0.06738168,0.05708806,0.0086565465,-0.04191766,-0.105745465,-0.020247078,-0.029471382,-0.0491779,-0.007348006,0.04813944,-0.02708763,-0.08732782
US10316031B2,C[C@@H](C)N1C=CC=N1,CC(C)n1cccn1,0.007998193,0.15635738,-0.35764807,0.032175373,0.15301837,-0.12719215,-0.0743615,0.05521639,-0.06870702,0.021854432,-0.024744695,0.024514345,0.03851726,-0.025600849,-0.032087278,0.0106011005,0.09802658,0.046684794,0.103123106,0.020296277,-0.021631427,0.016908294,0.06134451,-0.027423622,0.011123079,-0.052744508,0.022843633,0.02924566,-0.058696833,-0.038972553,-0.1191187,0.17069703,-0.013178247,-0.044047046,-0.05633646,-0.07569054,-0.030131677,0.039963078,-0.118508585,0.034627594,0.074321166,0.09175053,-0.07679349,-0.019246923,0.10317787,-0.042722315,-0.0023477466,-0.07408028,-0.023086958,0.09758009,-0.061931726,-0.039854188,0.027335113,0.10873835,0.10637309,-0.044528734,-0.06034417,-0.008029647,0.043483365,-0.0014975823,-0.03672751,-0.07486269,0.09226544,-0.13342036,0.12882155,-0.024851147,-0.002995674,-0.09710061,-0.02079018,-0.055877697,0.023365276,0.14190318,0.19865847,-0.04051731,-0.037051324,0.085842185,-0.00815906,0.022082713,-0.046839543,0.14602754,0.08277947,0.04256979,-0.072762825,0.028274992,0.077922024,-0.018580524,0.07996376,-0.003214895,-0.07627601,-0.055727646,0.024750434,0.07840153,-0.025858596,0.037184756,-0.042163204,-0.12722471,-0.069870256,0.014806485,0.07757237,-0.15384564,0.09496977,0.01590645,0.08901134,-0.04874425,0.037376467,-0.42093572,0.025869334,0.007927966,-0.16105407,0.06906206,0.13241136,0.08396053,0.118788615,0.084307194,-0.07446918,-0.045732107,-0.099693224,0.06659325,-0.11465247,-0.0637993,-0.09702499,-0.024914565,0.036980603,0.010848932,-0.060947612,0.004967926,-0.08144752,0.03819573
US10316031B2,C[C@@H](C)N1C=CN=C1[R2],CC(C)n1ccnc1,-0.057400737,0.15887515,-0.34901956,0.07294648,0.085331604,-0.15195343,-0.071573146,0.05512864,-0.058737956,0.055770155,0.027148101,0.11194251,0.08277408,0.03504008,0.017931981,0.026959416,0.14081542,0.052646473,0.07456929,-0.07185119,-0.0040442324,0.020520166,0.04513887,-0.11082255,0.062489897,0.107821494,0.0052916496,0.021987017,-0.05593192,-0.073830396,-0.09809896,0.1313932,-0.03256901,0.09316672,0.011103971,-0.051121954,-0.006224727,-0.04521631,-0.09768532,0.04955727,0.051771045,-0.018750124,-0.06516492,0.041090276,0.023005828,-0.09836887,-0.060639862,-0.055860985,-0.04931682,0.06931278,-0.13202715,0.004074398,0.005825738,0.11546194,0.10830841,-0.05089615,-0.060806032,-0.08740707,0.071408935,0.058845796,-0.0025030691,-0.11354153,0.049921457,-0.14754444,0.070090115,0.021192933,-0.015377367,-0.02069499,-0.103187025,-0.11127896,0.06573307,0.11495318,0.16458206,0.07711567,-0.04260232,0.12630257,0.10564563,-0.077435344,-0.041652378,0.041739836,0.06357687,0.023931293,0.0013541079,0.00538299,0.09204633,-0.008356963,0.07224558,-0.07445428,-0.09397894,0.059759732,0.01275473,0.13199845,-0.010922231,0.05898743,-0.07898258,-0.10259553,-0.08086948,0.07710469,-0.0014095454,-0.092932135,0.10203404,0.035892777,-0.047384065,-0.040828094,0.014287144,-0.42895696,0.01309593,0.014515165,-0.16841914,0.11228702,0.088608034,0.0526805,0.020857178,0.090749934,-0.060319643,-0.014846051,-0.047838185,-0.02959458,-0.084908396,-0.092497304,-0.001679026,-0.031797983,0.035413995,-0.035597224,-0.055402562,-0.06593568,-0.03408487,0.08038268
US10316031B2,C[C@@H](C1=CC=CC=C1)[Y].C[C@@H](C)N1[CH]CCC1.C[C@@H](C)N(C)C[Y].[CH2-][R3].[CH3-].[CH3-].[CH3-].[CH3-].[CH3-].[CH3-].[CH3-].[CH3-].[CH3-].[CH3-].[CH3-].[CH3-].[CH3-].[CH3-].[CH3-].[CH3-].[CH3-].[CH3-].[CH3-].[CH3-].[CH3-].[CH3-].[CH3-].[CH3-].[CH3-].[CH3].[CH3].[CH3].[CH3].[CH3].[CH3].[CH3].[CH3].[CH3,C[C@H]([Y])c1ccccc1,-0.05790017,0.094536476,-0.26547062,-0.02514815,0.035575222,-0.087716766,-0.046111524,0.0971545,0.14014567,0.107853636,0.118742764,-0.01754243,0.024089135,0.087854706,0.05470876,0.13769983,0.016152347,0.056233577,0.007072637,-0.084959835,-0.008542676,-0.02931479,0.004248505,-0.13562189,0.12991065,-0.00965201,-0.0054172375,-0.06478599,-0.12987265,-0.0900359,-0.06515787,0.12756673,-0.053498622,-0.04200485,0.068308964,0.004157214,-0.041420523,-0.069569215,0.052362364,-0.011586925,-0.0548583,-0.035593584,0.08428553,0.02348802,-0.008133232,-0.022645235,-0.0103670005,-0.05333381,-0.01139817,0.04904033,-0.15954518,-0.12120512,0.056794044,-0.028433206,0.079326615,0.04907958,0.020471765,-0.05153317,0.114627995,0.05214316,-0.07624706,-0.05161799,-0.030973725,-0.12793933,0.08170657,-0.0057368944,0.05248839,-0.0682665,-0.0047489665,-0.14048256,-0.095228516,0.22590777,0.08665138,-0.06630092,-0.06394597,0.08803931,0.10873564,-0.17298049,-0.03727944,0.037605997,0.03546373,0.020349484,-0.0014950862,-0.09181488,0.17617868,-0.09670269,0.02099003,-0.14709735,-0.052491855,0.10989594,-0.0057454286,0.024466269,-0.085561134,0.0058511957,-0.111388125,-0.046581257,-0.092748806,0.12798765,0.011424873,-0.13193369,0.13682203,-0.02079569,-0.057120357,0.046378613,0.027578855,-0.3923375,-0.061108228,-0.046696387,-0.11201252,0.09086027,-0.00374443,0.04687217,0.1003913,0.08451495,0.013732947,0.015649293,-0.08293452,0.057387847,-0.022647584,-0.045834295,-0.096068315,-0.03062385,-0.013662445,0.10669142,0.002834694,-0.10815925,-0.024765259,0.040166005
US10316031B2,C[C@@H](C1=C(ON=C1[R2])[R3])I,C[C@H](I)c1cnoc1,-0.08714069,0.10120055,-0.35678548,0.07111817,0.08510614,-0.09429287,-0.1097057,0.016259544,0.038683295,0.031500187,0.038349584,0.013071657,0.14309797,0.042918604,0.08645796,0.018181296,0.07947593,0.060656447,0.012543123,-0.0744656,-0.049036324,0.10332885,-0.014697527,-0.032419883,0.08008158,0.11855705,0.05709249,0.0643126,-0.034055717,-0.026256049,-0.10697165,0.12095574,-0.08295839,0.09439796,0.06314689,0.034964394,-0.014305899,-0.081618756,-0.14774166,0.009061474,0.0072722267,-0.15263928,-0.054988094,-0.013265782,-0.013219004,-0.06623962,0.043804567,-0.026323605,0.017683424,0.0027506058,-0.15957953,0.053893294,0.06696837,-0.02253314,0.10430926,-0.0015550001,-0.12453052,-0.039421704,0.103151314,0.049593657,-0.0637232,-0.06455787,0.005488332,-0.122926086,0.023043538,0.029178057,-0.09010811,0.03300249,-0.028829798,-0.18151562,0.018028187,0.05405468,0.09394077,0.11764769,-0.03169576,0.07669828,0.058278885,-0.13532549,0.008279381,0.043072775,-0.006773427,0.018686097,0.10368584,-0.030057147,0.18307497,-0.026316918,0.06533149,-0.16072692,-0.004144056,0.0418757,-0.06841285,0.15636411,-0.029516632,-0.022381775,-0.09155261,-0.0023696835,-0.044275325,0.09794541,-0.008008041,0.08258653,0.066651054,0.042685397,-0.07746652,0.10182979,-0.0008222177,-0.43667796,-0.018103277,0.015646495,-0.11713865,0.09366416,0.030127928,0.0067605497,0.10285849,0.06533555,-0.03594356,0.07268594,-0.06556144,0.03528123,-0.00010716613,-0.08604836,-0.014785422,-0.047456086,-0.0032705916,0.03726532,-0.011070226,-0.07361388,-0.03336707,-0.034445643
US10316031B2,C[C@@H](C1=C(CC=C1[R2])[R3])F.CC(C)C1=NC(=C([R2])S1)[R5].CC(C)C1=C(C(=NS1)[R3])[R2].CC(C)C1=CN(C)N=C1[R3].CC(C)C1=NN=C(C)S1.C[C@H](C)C1=NN(C(=C1[R3])[R1])[R1].C[C@H](C)C1=C(C(=NN1[R1])[R3])[R3].C=CC1=CSN=C1[R3],CC(C)c1cnn(C)c1,-0.025426373,0.17831083,-0.3572307,0.07538772,0.05725083,-0.1681142,-0.0870197,0.014385891,-0.06479261,0.031934783,0.029323885,0.10626024,0.022603417,0.008579638,0.0018251061,-0.019647555,0.14923336,-0.012710415,0.07739195,-0.07540307,-0.0047802017,0.056999184,0.07074844,-0.118036345,0.06968793,0.10254402,0.0062741423,-0.03047068,-0.06485123,-0.0049600634,-0.118691646,0.1312389,-0.058367964,0.091487095,0.07042604,-0.066669054,-0.004422689,-0.023461994,-0.07870937,0.07166561,-0.0033478662,-0.11278592,-0.106770955,-0.022751348,-0.04558511,-0.08489785,-0.03815273,-0.012244652,-0.10012263,0.034419753,-0.065474026,-0.0016754712,-0.0010045453,0.13536796,0.12523234,0.016670357,-0.08624327,-0.014011537,0.0709666,0.078313716,0.0709339,-0.081687614,0.005855957,-0.16457732,0.05702279,0.049981624,-0.035222467,-0.01814912,-0.058418073,-0.114946075,0.041044313,0.13398929,0.14266717,0.055292394,-0.022166671,0.1236949,0.08776562,-0.07956914,-0.048986807,-0.035264716,0.114662334,0.06544479,0.03666662,0.020408923,0.110598415,0.0013733958,0.07829016,-0.051360793,-0.09709306,0.044056565,-0.020459486,0.13003124,-0.05219409,0.07298816,-0.029476302,-0.08838872,-0.06461513,0.083931886,-0.007346202,-0.13875522,0.1306893,0.045888662,-0.04136104,-0.016989548,0.03953028,-0.40483725,-0.007975315,0.018807085,-0.15330651,0.11648785,0.054228593,0.058858044,0.026180945,0.072386496,-0.027787587,0.00020374122,-0.044957723,-0.024254763,-0.07006688,-0.06296217,-0.034688827,-0.022866111,0.0065678637,-0.04519771,-0.1017435,-0.058739744,0.010819402,0.09647422
